Jobtitle,City,Date,Skills,Salary,Candidates,Copy
gestor de proyectos equipos gps,Madrid,2022-09-26,"['electronica', 'gps']",no disponible,7,2022-10-02
ingeniero/a de software (frontend),Valladolid,2022-09-26,"['html', 'javascript', 'css']",no disponible,13,2022-10-02
qa & test automation engi,Valencia,2022-09-26,"['java', 'mysql', 'qa', 'api']",31500.0,5,2022-10-02
desarrollador/a backend .net,Madrid,2022-09-22,"['c#', '.net']",no disponible,8,2022-10-02
at tes,Madrid,2022-09-22,"['java', 'microsoft']",34500.0,12,2022-10-02
project manager (ecommerce),Barcelona,2022-09-22,"['seo', 'sem', 'ecommerce']",no disponible,12,2022-10-02
técnico microinformático,Barcelona,2022-09-21,"['software', 'soporte', 'ticketing']",16500.0,37,2022-10-02
desarrollador de sistemas y redes,Madrid,2022-09-21,"['aws', 'virtualizacion', 'linux', 'desarrollo software', 'inteligencia artificial', 'cloud', 'azure', 'redes']",34500.0,30,2022-10-02
ingeniero/a desarrollo software .net,Zaragoza,2022-09-21,"['cplusplus', '.net']",no disponible,9,2022-10-02
desarrollador/a fullstack,Valencia,2022-09-21,"['c#', '.net']",no disponible,4,2022-10-02
tã©cnico de soporte (h/m),Bizkaia,2022-09-20,"['soporte', 'microinformatica']",no disponible,61,2022-10-02
líder técnico python y django,Madrid,2022-09-20,"['python', 'django']",39000.0,5,2022-10-02
responsable de evolución tecnológica,Bizkaia,2022-09-20,"['big data', 'inteligencia artificial', 'iot']",no disponible,0,2022-10-02
analista programador (angular + ionic),Madrid,2022-09-20,"['ionic', 'angularjs']",no disponible,5,2022-10-02
